Tauchgangs-Nr.: 128
Modell: XP5
Serien Nr.: 7278
Tauchgangsnr.: 6
Datum des Tauchgangs: 18/05/2010
Dauer des Tauchgangs: 12:07
Tauchmodus: Normal
Oberflächeninterval: 01:27
Maximale Tiefe: 15,5 M
Tauchzeit gesamt: 47 Min.
Temperatur Min.: 13,33333 C

Tauchflaschengröße:
Arbeitsdruck:
Anfangsdruck: 0 BAR
End Druck: 0 BAR
Tauchflaschengröße: 0 L
Arbeitsdruck: 0 BAR
SAC: 0 L/Min
FO2: Luft
N1: 8,6
N2: 120,07
N3: 148,
N4: 0,03
N5: 7,66
N6: 244,36
N7: 49,
N8: 0,01
N9: 3,38
N10: 2,9
OTUD: 0,
OTUS: 0,
Abtastrate: 30 Secs
Tauchdatentyp: Tauchcomputer

Abgelaufene Tauchzeit (Std:Min.)	Tiefe	Stickstoff Balkenanzeige	Sauerstoff Balkenanzeige	Aufstiegsgeschwindigkeit	Restluftzeit	Restliche Tauchzeit	Dekompressionszeit (Std:Min)	Dekostopp-Tiefe	Temperatur	PO2	Pressluftflasche	Lesen des Druckes	Status der Verbindung	Tauchstatus
00:11:00	11,0 M	2	0	0-3 MPM	Nicht verfügbar	02:18	0:00	0 M	13,3	 	Nicht verfügbar	Nicht verfügbar	Nicht verfügbar
00:11:15	9,4 M	2	0	3-7.5 MPM	Nicht verfügbar	03:14	0:00	0 M	13,3	 	Nicht verfügbar	Nicht verfügbar	Nicht verfügbar
00:11:30	9,1 M	2	0	0-3 MPM	Nicht verfügbar	03:30	0:00	0 M	13,9	 	Nicht verfügbar	Nicht verfügbar	Nicht verfügbar
00:11:45	8,8 M	2	0	0-3 MPM	Nicht verfügbar	03:48	0:00	0 M	13,3	 	Nicht verfügbar	Nicht verfügbar	Nicht verfügbar
00:12:00	8,2 M	2	0	3-7.5 MPM	Nicht verfügbar	04:34	0:00	0 M	13,9	 	Nicht verfügbar	Nicht verfügbar	Nicht verfügbar
00:12:15	8,8 M	2	0	0-3 MPM	Nicht verfügbar	03:49	0:00	0 M	13,3	 	Nicht verfügbar	Nicht verfügbar	Nicht verfügbar
00:12:30	9,8 M	2	0	0-3 MPM	Nicht verfügbar	03:00	0:00	0 M	13,3	 	Nicht verfügbar	Nicht verfügbar	Nicht verfügbar
00:12:45	10,4 M	2	0	0-3 MPM	Nicht verfügbar	02:37	0:00	0 M	13,3	 	Nicht verfügbar	Nicht verfügbar	Nicht verfügbar
00:13:00	10,1 M	2	0	0-3 MPM	Nicht verfügbar	02:47	0:00	0 M	13,3	 	Nicht verfügbar	Nicht verfügbar	Nicht verfügbar
00:13:15	10,7 M	2	0	0-3 MPM	Nicht verfügbar	02:26	0:00	0 M	13,3	 	Nicht verfügbar	Nicht verfügbar	Nicht verfügbar
00:13:30	10,7 M	2	0	0-3 MPM	Nicht verfügbar	02:26	0:00	0 M	13,3	 	Nicht verfügbar	Nicht verfügbar	Nicht verfügbar
00:13:45	10,7 M	2	0	3-7.5 MPM	Nicht verfügbar	02:25	0:00	0 M	13,3	 	Nicht verfügbar	Nicht verfügbar	Nicht verfügbar
00:14:00	10,4 M	2	0	0-3 MPM	Nicht verfügbar	02:36	0:00	0 M	13,3	 	Nicht verfügbar	Nicht verfügbar	Nicht verfügbar
00:14:15	11,3 M	2	0	0-3 MPM	Nicht verfügbar	02:07	0:00	0 M	13,3	 	Nicht verfügbar	Nicht verfügbar	Nicht verfügbar
00:14:30	11,3 M	2	0	0-3 MPM	Nicht verfügbar	02:07	0:00	0 M	13,3	 	Nicht verfügbar	Nicht verfügbar	Nicht verfügbar
00:14:45	11,0 M	2	0	0-3 MPM	Nicht verfügbar	02:15	0:00	0 M	13,3	 	Nicht verfügbar	Nicht verfügbar	Nicht verfügbar
00:15:00	10,7 M	2	0	0-3 MPM	Nicht verfügbar	02:24	0:00	0 M	13,3	 	Nicht verfügbar	Nicht verfügbar	Nicht verfügbar
00:15:15	9,8 M	2	0	3-7.5 MPM	Nicht verfügbar	02:57	0:00	0 M	13,3	 	Nicht verfügbar	Nicht verfügbar	Nicht verfügbar
00:15:30	9,4 M	2	0	0-3 MPM	Nicht verfügbar	03:10	0:00	0 M	13,3	 	Nicht verfügbar	Nicht verfügbar	Nicht verfügbar
00:15:45	8,5 M	2	0	3-7.5 MPM	Nicht verfügbar	04:07	0:00	0 M	13,3	 	Nicht verfügbar	Nicht verfügbar	Nicht verfügbar
